id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6422,Nashville Charm,12172,Michele,,District 6,36.17143,-86.7357,Private room,43,30,670,2020-03-03,3.58,1,260,0,
39870,Close to Vanderbilt 2,171184,Evelyn,,District 25,36.12466,-86.81269,Private room,70,1,504,2024-09-07,5.17,1,205,98,
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard,,District 18,36.13122,-86.80066,Entire home/apt,100,2,743,2024-09-08,4.59,1,53,40,
258817,"ButterflyRoom-queen room, private bath",22296,Diana,,District 12,36.16076,-86.59151,Private room,34,30,97,2023-12-27,0.62,8,357,1,
289242,"MorningstarHouse, monthly room-",22296,Diana,,District 12,36.16296,-86.59113,Private room,34,30,76,2019-01-12,0.49,8,365,0,
319705,"SuperSweetSTUDIO, jacuzzi, private entrance",22296,Diana,,District 12,36.16236,-86.59005,Private room,45,30,49,2024-02-02,0.32,8,360,1,
329997,A+ Carriage House & Courtyard! 5 mins to Downtown,1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,104,2,1424,2024-09-12,9.30,5,131,116,
340081,Affordable room in 4 bedroom house.,22296,Diana,,District 12,36.16122,-86.59007,Private room,34,30,82,2024-07-03,0.54,8,365,2,
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16499,-86.75054,Private room,97,1,345,2024-09-08,2.31,1,321,30,
430052,"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,108,2,1063,2024-09-13,7.12,5,30,63,
431258,"5 MIN TO DT! 2 Bdrm, 2.5 Baths, Hot tub courtyard!",1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,285,2,534,2024-08-29,3.56,5,295,34,
513664,Cozy and Convenient in Donelson!,2530554,Lori,,District 14,36.15606,-86.64991,Private room,,2,27,2015-06-29,0.19,1,0,0,
632636,Admire Skyline from the Rooftop Terrace Chic Suite,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,166,2,443,2024-09-13,3.00,5,38,23,
637425,Art room French Flair,2427763,Dody &Rodney,,District 6,36.19236,-86.743,Private room,131,1,180,2024-06-30,1.22,2,354,11,
645985,Serenity Haven,1515903,Karen,,District 6,36.18523,-86.71385,Private room,32,30,58,2024-08-10,0.40,2,169,3,
648088,Heart of Music Row Studio Apt. Midtown Nashville,3250769,Robyn,,District 19,36.1447,-86.79014,Private room,113,30,444,2023-10-30,3.04,1,105,6,
674159,"A Clean, Quiet Suite in a Great Neighborhood",3422455,John,,District 6,36.17393,-86.73894,Entire home/apt,142,3,337,2024-09-02,2.36,2,241,16,
681880,Luxurious Cozy Guesthouse,3471162,Tiffany,,District 7,36.21536,-86.71024,Entire home/apt,105,1,771,2024-09-16,5.30,1,152,88,
859206,Private Entrance Suite Vandy/Belmnt,1924504,Anne,,District 18,36.12999,-86.79959,Private room,99,2,129,2024-09-15,0.91,1,4,5,
914787,"Walk to Downtown -Pool, Free Parking, Gym + 4 Beds",4910520,Amy,,District 19,36.17539978,-86.7818985,Entire home/apt,208,1,428,2024-08-25,3.05,15,346,43,
1006989,Private Carriage House,1896384,John And Mike,,District 6,36.17502,-86.73475,Entire home/apt,88,2,617,2024-09-07,4.42,1,107,36,
1009550,The Fab GuesT QuarTers Suite,5554006,Jacque,,District 7,36.21239,-86.70439,Entire home/apt,113,3,276,2024-09-09,1.98,1,55,26,
1209395,Music Row Midtown Apartment,6604593,Michael,,District 19,36.14867,-86.79611,Entire home/apt,128,3,247,2024-09-02,1.87,1,324,21,
